neighborhood,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,-601.0,1530.0,1833.0,1801.0,1170.0,16108.0,38413.0,74072.0,124839.0,83707.0,20934.0,1273.0,-3835.0,-5221.0,-17954.0,-28718.0,-64723.0,-118688.0,-55892.0,-20187.0,-5289.0,-2593.0,-3295.0,-1781.0
1,1774.0,1379.0,1036.0,287.0,486.0,857.0,186.0,1798.0,4297.0,2299.0,283.0,-1151.0,-1790.0,-2150.0,-4545.0,-3473.0,-1781.0,-1196.0,622.0,1771.0,2362.0,2009.0,1884.0,1820.0
2,5520.0,3942.0,2880.0,1963.0,1030.0,-925.0,-3580.0,-5422.0,-8299.0,-6403.0,-5825.0,-4988.0,-4569.0,-3204.0,-2705.0,-665.0,914.0,1289.0,2513.0,4139.0,5416.0,5658.0,5947.0,6675.0
3,-132.0,457.0,361.0,307.0,-80.0,654.0,-1426.0,-3399.0,-10337.0,-3891.0,-1430.0,-1732.0,-692.0,305.0,1560.0,2229.0,2971.0,4902.0,7185.0,6550.0,1125.0,-2352.0,-2714.0,-1145.0
4,2565.0,1198.0,727.0,138.0,60.0,-338.0,-3038.0,-6933.0,-7228.0,-3684.0,-2133.0,-1454.0,-922.0,-1456.0,-1668.0,391.0,2372.0,3352.0,2986.0,3743.0,3223.0,2215.0,2020.0,3060.0
5,959.0,419.0,304.0,209.0,175.0,157.0,-7.0,-1003.0,123.0,635.0,-124.0,-383.0,-503.0,-467.0,-1702.0,-632.0,-405.0,-823.0,-186.0,443.0,371.0,745.0,960.0,726.0
6,338.0,-17.0,149.0,444.0,485.0,-356.0,240.0,3954.0,9627.0,6100.0,1290.0,-1509.0,-996.0,-992.0,-2136.0,-3360.0,-3568.0,-5616.0,-584.0,1422.0,-54.0,-921.0,-1145.0,-612.0
7,3346.0,2127.0,1068.0,452.0,-81.0,-2060.0,-2442.0,-4950.0,-7204.0,-4333.0,-2838.0,-2731.0,-1843.0,-962.0,-765.0,-116.0,1057.0,2890.0,4362.0,5285.0,5402.0,3934.0,4572.0,4353.0
8,2367.0,1587.0,960.0,503.0,59.0,-70.0,-1068.0,-2078.0,-3757.0,-2734.0,-2198.0,-2360.0,-1988.0,-1657.0,-1374.0,-918.0,-607.0,338.0,1663.0,2153.0,3062.0,2044.0,2319.0,2707.0
9,670.0,781.0,639.0,423.0,-669.0,-16690.0,-28169.0,-27606.0,12538.0,49037.0,15562.0,991.0,1829.0,4056.0,6693.0,17449.0,5798.0,-13075.0,-11127.0,4081.0,3254.0,-5644.0,-4585.0,1916.0
10,164.0,136.0,154.0,80.0,-32.0,-29.0,-296.0,-191.0,-140.0,-138.0,-221.0,-14.0,-93.0,-73.0,22.0,-39.0,59.0,34.0,399.0,190.0,225.0,207.0,173.0,209.0
11,3680.0,2989.0,2507.0,1568.0,667.0,1066.0,5148.0,18810.0,35673.0,43239.0,15495.0,6267.0,3036.0,2754.0,-1158.0,-6998.0,-25927.0,-45726.0,-16920.0,-1917.0,864.0,400.0,2316.0,4391.0
12,-251.0,598.0,936.0,343.0,928.0,-242.0,1667.0,4999.0,17178.0,18036.0,9949.0,3414.0,3008.0,1641.0,591.0,-3349.0,-7555.0,-11941.0,-1951.0,4422.0,946.0,-1689.0,-2908.0,-2336.0
13,1064.0,695.0,298.0,299.0,57.0,-183.0,-179.0,-1217.0,758.0,1711.0,-259.0,-745.0,-240.0,-322.0,-702.0,-994.0,-1432.0,-2041.0,-866.0,720.0,971.0,1239.0,1415.0,1341.0
14,5382.0,946.0,-495.0,-1110.0,-749.0,-8136.0,-21526.0,-42665.0,-71155.0,-37749.0,-20195.0,-12252.0,-3679.0,-1210.0,-1827.0,4088.0,16867.0,58867.0,69806.0,50751.0,35600.0,23111.0,19108.0,12648.0
15,2224.0,936.0,609.0,123.0,-498.0,-915.0,-1563.0,-1927.0,997.0,-574.0,-1536.0,-1175.0,-1013.0,-1549.0,-2864.0,-1217.0,601.0,847.0,1286.0,2058.0,2217.0,2116.0,1817.0,2582.0
16,1783.0,1644.0,934.0,818.0,493.0,-4770.0,-18264.0,-40823.0,-53995.0,-20672.0,-7057.0,-5633.0,-2446.0,798.0,3338.0,4946.0,15664.0,33869.0,37299.0,21893.0,8349.0,2266.0,879.0,1610.0
17,3947.0,3183.0,2040.0,1181.0,493.0,68.0,2638.0,-15101.0,-27432.0,-7631.0,-3697.0,-3399.0,-226.0,1702.0,2078.0,624.0,-2239.0,13458.0,24127.0,15527.0,10227.0,7140.0,5047.0,4147.0
18,2038.0,1114.0,509.0,338.0,-89.0,-502.0,-1574.0,-3814.0,-2153.0,-1383.0,-1345.0,-1210.0,-597.0,-1160.0,-701.0,190.0,847.0,664.0,1761.0,2274.0,2915.0,2638.0,2281.0,1725.0
