neighborhood,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,22015.0,12576.0,8210.0,5701.0,5650.0,12528.0,26776.0,54214.0,67985.0,55429.0,52230.0,59526.0,68196.0,73774.0,83999.0,91956.0,96970.0,113715.0,117614.0,100686.0,79677.0,60414.0,47676.0,33794.0
1,67369.0,41631.0,26917.0,16372.0,11188.0,13329.0,48698.0,99674.0,178461.0,169186.0,156990.0,169012.0,187919.0,200809.0,206692.0,216959.0,236229.0,297564.0,329673.0,281012.0,200984.0,147841.0,125890.0,98701.0
2,16293.0,10296.0,6969.0,5185.0,5299.0,7093.0,11083.0,35467.0,40342.0,29346.0,25617.0,29223.0,36500.0,42506.0,59798.0,68944.0,71569.0,67015.0,63650.0,55737.0,47195.0,37891.0,31117.0,23467.0
3,143745.0,95678.0,63611.0,38999.0,28534.0,49028.0,148029.0,291173.0,497611.0,459404.0,404108.0,433817.0,495206.0,514588.0,536151.0,582051.0,633528.0,782681.0,797872.0,644297.0,469119.0,354278.0,286428.0,213774.0
4,10812.0,6671.0,4405.0,2612.0,2173.0,3118.0,6787.0,14391.0,21128.0,19774.0,17404.0,18799.0,20686.0,21763.0,23979.0,25864.0,26950.0,29998.0,32754.0,29514.0,23167.0,20478.0,18819.0,15710.0
5,16169.0,11533.0,7927.0,5836.0,4812.0,6098.0,10026.0,17298.0,24734.0,21702.0,21347.0,22861.0,25813.0,28055.0,30438.0,31857.0,33179.0,38095.0,40102.0,37239.0,30899.0,25355.0,22777.0,19432.0
6,17008.0,9129.0,5274.0,2995.0,2445.0,6728.0,18340.0,53229.0,90211.0,81586.0,68625.0,74675.0,86252.0,90888.0,99765.0,109590.0,119933.0,142448.0,135532.0,104474.0,72255.0,53004.0,40797.0,28662.0
7,6180.0,3799.0,2455.0,1576.0,1595.0,2522.0,4343.0,11464.0,14040.0,9437.0,9889.0,12234.0,15533.0,16951.0,22791.0,28141.0,25756.0,26888.0,25374.0,22018.0,18924.0,15412.0,11694.0,8911.0
8,27411.0,15823.0,9598.0,5635.0,6188.0,23283.0,66690.0,129341.0,170894.0,129924.0,114315.0,124535.0,144647.0,154183.0,171153.0,192435.0,205962.0,231503.0,218732.0,166705.0,117559.0,82751.0,65455.0,46317.0
9,1312.0,818.0,649.0,461.0,582.0,702.0,1081.0,2014.0,1949.0,1753.0,1692.0,2209.0,2564.0,2872.0,3514.0,4431.0,4767.0,4638.0,4490.0,3840.0,2971.0,2642.0,2273.0,1809.0
10,37495.0,26719.0,20747.0,14659.0,11503.0,9402.0,15147.0,31438.0,45580.0,46382.0,45212.0,49501.0,56069.0,60927.0,65167.0,68138.0,71964.0,84948.0,94501.0,87655.0,70870.0,57402.0,54451.0,47979.0
11,113027.0,69416.0,45642.0,32171.0,31581.0,85576.0,204288.0,391412.0,631984.0,578440.0,425451.0,440928.0,501750.0,530832.0,565551.0,608578.0,712228.0,954230.0,850465.0,588461.0,400628.0,304212.0,246554.0,177943.0
12,16737.0,10563.0,7030.0,4408.0,4147.0,6149.0,13883.0,33308.0,35878.0,29372.0,28664.0,33552.0,39829.0,45785.0,56977.0,65933.0,72404.0,76442.0,74812.0,65163.0,52260.0,42335.0,32980.0,25336.0
13,29862.0,19284.0,11855.0,7532.0,5828.0,7097.0,17792.0,43143.0,60360.0,55790.0,50584.0,52449.0,57543.0,61628.0,64511.0,67993.0,75250.0,86935.0,96394.0,86284.0,67101.0,53475.0,49527.0,41816.0
14,2804.0,1697.0,1212.0,971.0,999.0,1372.0,2776.0,5953.0,6741.0,5614.0,5109.0,5810.0,6700.0,7437.0,9136.0,10306.0,11401.0,12145.0,11682.0,10323.0,7876.0,6542.0,5110.0,4112.0
15,34568.0,19556.0,10878.0,6192.0,4470.0,9512.0,32337.0,75757.0,126594.0,107870.0,97013.0,107067.0,120385.0,127621.0,135235.0,143112.0,156767.0,186338.0,199822.0,166496.0,118461.0,87813.0,74006.0,54855.0
16,12899.0,7154.0,4940.0,3298.0,3734.0,4406.0,7646.0,20473.0,25331.0,16131.0,15195.0,17726.0,22088.0,26836.0,37020.0,45207.0,45534.0,44996.0,43401.0,37943.0,35100.0,30481.0,24540.0,17967.0
17,5170.0,3460.0,2219.0,1366.0,1217.0,1748.0,5893.0,11902.0,17226.0,14644.0,12360.0,13559.0,16257.0,17624.0,21051.0,21869.0,24382.0,29378.0,26991.0,21282.0,16602.0,12096.0,9513.0,7113.0
18,13506.0,8342.0,5429.0,3702.0,3241.0,3854.0,8284.0,22311.0,24237.0,18038.0,18713.0,21510.0,26045.0,31538.0,40499.0,49989.0,49708.0,52386.0,49049.0,44064.0,37961.0,30835.0,24198.0,18910.0
19,48119.0,29989.0,19066.0,11954.0,8689.0,19709.0,77062.0,164805.0,269262.0,238537.0,192574.0,204793.0,238564.0,253099.0,270612.0,298484.0,347539.0,457047.0,416066.0,292196.0,200358.0,141088.0,107777.0,74721.0
20,37452.0,23637.0,15659.0,10894.0,7915.0,16877.0,42515.0,107765.0,194386.0,177058.0,145017.0,151693.0,170270.0,179626.0,190296.0,206433.0,227528.0,274695.0,273728.0,210764.0,143933.0,104196.0,82438.0,60367.0
21,8675.0,5537.0,3720.0,2698.0,2206.0,4408.0,9508.0,19682.0,25420.0,20963.0,19348.0,20570.0,23685.0,27426.0,32743.0,36528.0,39011.0,41921.0,42556.0,36302.0,29461.0,22201.0,16889.0,12864.0
22,17275.0,10631.0,7404.0,5414.0,6113.0,10351.0,25422.0,55810.0,64930.0,49409.0,44731.0,49178.0,57370.0,61895.0,70506.0,84141.0,90767.0,96042.0,87812.0,70948.0,55081.0,40838.0,31500.0,24736.0
23,17147.0,10082.0,6116.0,4575.0,4622.0,9791.0,22980.0,45838.0,71771.0,61743.0,51989.0,55055.0,62803.0,68389.0,76861.0,82987.0,88496.0,103716.0,99411.0,79080.0,60686.0,44824.0,36541.0,26746.0
24,33412.0,18945.0,10999.0,6492.0,5950.0,19643.0,57582.0,125544.0,172538.0,133624.0,126658.0,146456.0,173816.0,189134.0,210817.0,233989.0,247911.0,290113.0,281278.0,219665.0,150040.0,107222.0,84147.0,56202.0
25,13177.0,6826.0,3762.0,2113.0,1912.0,3183.0,10391.0,25646.0,42220.0,37045.0,34777.0,38572.0,44474.0,48281.0,54592.0,58094.0,63555.0,73638.0,73849.0,59940.0,45668.0,34778.0,26233.0,19708.0
26,35214.0,20670.0,12754.0,9179.0,8795.0,31817.0,104655.0,198326.0,292712.0,235130.0,176877.0,185331.0,211563.0,218518.0,234365.0,250747.0,294376.0,380366.0,313060.0,209565.0,140851.0,98205.0,78785.0,57741.0
27,16133.0,11135.0,7705.0,5467.0,4463.0,4620.0,9634.0,17505.0,23598.0,21647.0,22057.0,22895.0,25171.0,27124.0,27899.0,30024.0,31434.0,35832.0,38594.0,35153.0,29727.0,25307.0,22991.0,20486.0
28,77683.0,48978.0,31800.0,19374.0,15459.0,31050.0,95962.0,187471.0,346644.0,349137.0,291695.0,310760.0,355593.0,374231.0,395302.0,430814.0,471535.0,584196.0,595471.0,454406.0,318104.0,224186.0,174338.0,123054.0
29,27617.0,18124.0,12276.0,8705.0,8180.0,13661.0,33093.0,77138.0,104219.0,88970.0,86626.0,94881.0,109302.0,118064.0,127678.0,140736.0,152482.0,169340.0,160916.0,128737.0,96722.0,72314.0,56176.0,41689.0
