neighborhood,1,2,3,4,5,6,7,8,9,10,11,12
0,370498.0,340138.0,410949.0,509608.0,609441.0,637791.0,677517.0,733649.0,625002.0,711473.0,562666.0,335705.0
1,41429.0,38961.0,54924.0,88226.0,126894.0,123086.0,126729.0,128000.0,100087.0,93059.0,69941.0,43790.0
2,32485.0,30735.0,36157.0,48696.0,59496.0,69302.0,89158.0,92915.0,83805.0,84561.0,63055.0,27456.0
3,116817.0,103972.0,133274.0,164829.0,205749.0,205865.0,214747.0,230769.0,205221.0,218945.0,173164.0,98812.0
4,42873.0,40684.0,53998.0,74470.0,84394.0,91092.0,90909.0,92946.0,79707.0,82566.0,67565.0,38604.0
5,13124.0,14954.0,18865.0,25428.0,39771.0,39650.0,43764.0,46602.0,35180.0,31840.0,28280.0,15087.0
6,60440.0,57893.0,71632.0,99604.0,127441.0,125734.0,135629.0,150252.0,125648.0,133926.0,98341.0,50421.0
7,55405.0,50891.0,63098.0,83737.0,102949.0,113682.0,121469.0,130817.0,108497.0,113444.0,87072.0,48492.0
8,6049.0,8319.0,15891.0,21111.0,33344.0,38869.0,45394.0,53675.0,50819.0,53261.0,40915.0,4766.0
9,530959.0,500743.0,621515.0,756854.0,916155.0,931146.0,988058.0,1070435.0,919921.0,1009522.0,773505.0,479483.0
10,,,,,,,,1941.0,12458.0,25748.0,20481.0,
11,209284.0,186155.0,255769.0,346757.0,455257.0,460920.0,499927.0,538963.0,465145.0,497100.0,342477.0,177736.0
12,191256.0,177928.0,220427.0,271093.0,337229.0,330178.0,356734.0,373930.0,348948.0,377190.0,283371.0,164110.0
13,17888.0,17371.0,21590.0,29445.0,38180.0,36934.0,39480.0,40390.0,35058.0,35463.0,24717.0,16092.0
14,570534.0,550944.0,663442.0,799574.0,962261.0,954160.0,1000272.0,1056325.0,999647.0,1072190.0,830635.0,509766.0
15,21173.0,18346.0,27214.0,60620.0,88419.0,85942.0,88459.0,85501.0,62082.0,50861.0,41649.0,23282.0
16,195882.0,175468.0,219095.0,304076.0,379160.0,370941.0,401634.0,422215.0,364499.0,397663.0,294785.0,176651.0
17,194720.0,173673.0,217062.0,276254.0,338357.0,333245.0,349705.0,369385.0,322121.0,354955.0,278446.0,174393.0
18,20272.0,20232.0,26684.0,48150.0,70330.0,71828.0,80564.0,80963.0,59593.0,51128.0,37052.0,21630.0
19,156412.0,150049.0,189508.0,253858.0,328347.0,316882.0,325965.0,348713.0,302963.0,316482.0,241273.0,148161.0
20,26163.0,28617.0,35615.0,47608.0,58294.0,64867.0,75831.0,83007.0,75783.0,75191.0,57628.0,22061.0
21,23553.0,21601.0,32125.0,48642.0,58483.0,57897.0,72218.0,86594.0,74401.0,78521.0,60293.0,19057.0
22,67553.0,60387.0,73076.0,98395.0,124169.0,133786.0,153344.0,163846.0,144078.0,146409.0,105245.0,55655.0
23,250208.0,242434.0,291855.0,416378.0,524537.0,515736.0,540987.0,582797.0,528611.0,568617.0,398631.0,212310.0
24,181434.0,162171.0,200417.0,290285.0,362495.0,372392.0,434082.0,465327.0,413674.0,442707.0,323097.0,144734.0
25,30814.0,33511.0,39464.0,68982.0,102732.0,104439.0,116798.0,121388.0,89393.0,82882.0,62425.0,34113.0
26,113344.0,107085.0,132650.0,172975.0,204280.0,218468.0,248840.0,261185.0,239999.0,246093.0,188228.0,96613.0
27,28853.0,28422.0,35629.0,53094.0,63471.0,68840.0,74926.0,79511.0,67103.0,70857.0,56602.0,25591.0
28,1499.0,1618.0,1908.0,2311.0,2327.0,2275.0,2184.0,25651.0,37314.0,48417.0,40924.0,1231.0
29,53521.0,47672.0,61363.0,78009.0,100891.0,103777.0,109210.0,111316.0,103415.0,110331.0,78402.0,45452.0
